,User,Tweet,Location,Retweet Count,Date
45,InfoAmreliGoG,"RT @PIBAhmedabad: #AtmanirbharBharatAbhiyan 

Harshad bhai of Dhoraji says, in situation of corona pandemic central government has announce…","Rajmahel Compound, Amreli",21,2020-06-12 14:04:51
46,MadanLa47765107,RT @BPCLimited: Our Mumbai refinery underwent a transformation to produce 100% BS VI grade MS fuel. The Gasoline Hydro Treatment Unit (GTU)…,,12,2020-06-12 13:58:58
47,Aniiiiish,"RT @biharigurl: Follow this underrated handle @biharigurl 
☺☺😇😇😁😁😅😅😅😅😂 

#AtmanirbharBharatAbhiyan",Port Blair,10,2020-06-12 13:55:18
48,Babaaagaya,"RT @biharigurl: Follow this underrated handle @biharigurl 
☺☺😇😇😁😁😅😅😅😅😂 

#AtmanirbharBharatAbhiyan",Aatma Near Bar ,10,2020-06-12 13:54:45
49,anilkhanna248,Pl support #AtmanirbharBharatAbhiyan by following @biharigurl https://t.co/r90ouxYHL8,Bangalore/Delhi,0,2020-06-12 13:53:30
50,cbatrody,"RT @biharigurl: Follow this underrated handle @biharigurl 
☺☺😇😇😁😁😅😅😅😅😂 

#AtmanirbharBharatAbhiyan",,10,2020-06-12 13:53:13
51,Lil_Boies2,"RT @biharigurl: Follow this underrated handle @biharigurl 
☺☺😇😇😁😁😅😅😅😅😂 

#AtmanirbharBharatAbhiyan","Patna, India ",10,2020-06-12 13:51:56
52,biharigurl,"Follow this underrated handle @biharigurl 
☺☺😇😇😁😁😅😅😅😅😂 

#AtmanirbharBharatAbhiyan",Uganda,10,2020-06-12 13:51:03
53,MethukusemaGoud,"RT @santhgogikar: Today's news paper clipping.

Participated in inaugral event of Atma Nirbhar Bharat Abhiyan for my constituency.

#AtmaNi…",India,7,2020-06-12 13:40:38
54,radhesinghtoma1,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",gwalior-india,37,2020-06-12 13:38:05
55,Anshika47555678,This is how India is going to get COVID-19 free? Shame on you people. Now who's gonna fine him for his wife not wea… https://t.co/5bSPp6wKic,"Raipur, India",0,2020-06-12 13:34:40
56,Anshika47555678,"If a Policeman is behaving like this like - ""Why would I wear a mask, you should wear it"" then what should we expec… https://t.co/Kf3MSOD9dj","Raipur, India",0,2020-06-12 13:34:39
57,Anshika47555678,My opinion is - Every person is responsible for their own safety. Why would any shop owner give their customer a ma… https://t.co/aPKHqNiLxA,"Raipur, India",0,2020-06-12 13:34:39
58,Anshika47555678,"They become more angry and started saying rubbish about the owner, he said you should give people mask if they ente… https://t.co/D1DwCqt4H4","Raipur, India",0,2020-06-12 13:34:38
59,Anshika47555678,"The owner said softly - ""you seem well educated, if you people do this kind of things then how will we be safe, I'm… https://t.co/3IkJ0aYoUF","Raipur, India",0,2020-06-12 13:34:37
60,Anshika47555678,Today I saw a policeman entered a shop with his family. The owner of the shop asked his wife to wear mask. She said… https://t.co/ZEMikBZyeX,"Raipur, India",0,2020-06-12 13:34:37
61,gmfci_rajasthan,"RT @Secretary_DFPD: Free distribution of 10 kg rice and 2 kg Chana started today in Longleng district, a far flung district in Nagaland Sta…","Jaipur, India",1,2020-06-12 13:27:35
62,SiddhantGhosh16,Please do buy an umbrella from them as it will help the #AtmanirbharBharatAbhiyan https://t.co/qvVGqQ8Ime,,0,2020-06-12 13:26:23
63,Malaprop15,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",India,37,2020-06-12 13:21:31
64,Shyampancharia,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…","Kolayat, Bikaner, India",37,2020-06-12 13:19:11
65,NavaMohanRao1,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",,37,2020-06-12 13:14:43
66,Indubaman,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",India,37,2020-06-12 13:12:35
67,SelokarKhilawan,"advance leval of laptop repairing....😂
.
.
.
.
#AatmanirbharBharat 
#1YearOfModi2 
#10thPublicExam 
#jugad… https://t.co/LBHEGljwcl","Nagpur, India",0,2020-06-12 13:07:45
68,rajeshrathore90,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",,37,2020-06-12 13:03:49
69,MUKESH42962177,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",India,37,2020-06-12 13:03:42
70,ChowkidarChokra,"RT @SharmaRashmi17: Some people think #boycottchina is impractical. What do you think?
#sonamwangchuk #vocalforlocal #AtmanirbharBharatAbhi…",,37,2020-06-12 13:01:18
